date,year,location,work,concert_composers,instrument,performers
1847-03-21,1847,"Hofburg Palace, Vienna, Austria","Souvenir de Russie, Fantasie für Violine","Otto Nicolai;Otto Nicolai;Henri Vieuxtemps;Carl Maria von Weber, Otto Nicolai;Otto Nicolai;Otto Nicolai;",violin,Georg Hellmesberger;Josef Staudigl;Josef Hartinger;Thomas Klein;Jenny Lind;None;Georg Hellmesberger;
1849-04-20,1849,"K. K. Operntheater Nächst Dem Kärntnerthore, ","Souvenir de Russie, Fantasie für Violine",Carl Maria von Weber;Unbekannt;Vincenzo Bellini;Sigismund Thalberg;Saverio Mercadante;Franz Schubert;Unbekannt;Carl Armand Mangold;Carl Armand Mangold;Henri Vieuxtemps;Franz von Suppè;Giuseppe Verdi;Volkmar;,violin,Sigismund Thalberg;F. von Sommer-Sonnenschild;Henriette Freyin von Hippersthal;J. C. Metzger;Georg Hellmesberger;Julie von Przybylski;
1854-12-17,1854,"Hofburg Palace, Vienna, Austria","Concerto for Violin in E minor, op. 64",Carl Maria von Weber;Carl Maria von Weber;Felix Mendelssohn-Bartholdy;Wolfgang Amadeus Mozart;Ludwig van Beethoven;,violin,Carl Eckert;Alois Ander;Josef Draxler;Adele Cornet;Henri Vieuxtemps;Therese Schwarz;Johann Beck;
1857-03-01,1857,"Hofburg Palace, Vienna, Austria","Concerto for Violin, Violoncello, and Piano in C Major, Op. 56, (""Triple Concerto"")",Felix Mendelssohn-Bartholdy;Ludwig van Beethoven;Felix Mendelssohn-Bartholdy;Franz Schubert;,violin,Carl Eckert;D. Pruckner;Louise Dustmann (-Meyer);Josef Hartinger;Georg Hellmesberger;
1863-02-02,1863,"Vienna Court Opera, Vienna, Austria",Fantasie für Violine,"Ludwig van Beethoven;Nikolaus Lenau;Franz (Ferenc) Erkel;Franz Doppler, Karl Doppler;Unbekannt;Franz Liszt;Gioachino Rossini;Franz Doppler;Ridley Kohne;August Silberstein;Karl Doppler;Wolfgang Amadeus Mozart;Unbekannt;Unbekannt;",violin,Franz Doppler;Caroline Bettelheim;L. Dalfy;Friederike Bognar;Anna Carina;Carl Tausig;Adolf von Sonnenthal;Charlotte Dekner;Studierende Ungarische;Wachtel;Louis von Bignio;Karl Doppler;Franz Doppler;
1864-02-21,1864,"Vienna Court Opera, Vienna, Austria","Concerto for Violin, Violoncello, and Piano in C Major, Op. 56, (""Triple Concerto"")",Robert Schumann;Ludwig van Beethoven;Hector Berlioz;Wolfgang Amadeus Mozart;,violin,"Otto Dessoff;Karl Schlesinger;Julius Epstein;Josef Hellmesberger, Jr.;"
1864-12-04,1864,"Vienna Court Opera, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Heinrich Esser;Ludwig van Beethoven;Wolfgang Amadeus Mozart;,violin,Heinrich Esser;Otto Dessoff;Ferdinand Laub;
1867-11-24,1867,"Vienna Court Opera, Vienna, Austria","Konzert für Streichorchester, 2 Violinen, Violoncello",Felix Mendelssohn-Bartholdy;Louis Spohr;Georg Friedrich Händel;Ludwig van Beethoven;,cello,"Otto Dessoff;Josef Hartinger;Franz Dobyhal;Marie Wilt;Josef Hellmesberger, Jr.;"
1869-01-17,1869,"Vienna Court Opera, Vienna, Austria","Concerto for Violin in E minor, op. 64",Joseph Haydn;Felix Mendelssohn-Bartholdy;Robert Schumann;,violin,Otto Dessoff;
1869-03-21,1869,"Tuchlauben, ","Violoncello-Konzert , Andante","Ignaz Brüll;Franz Schubert;Ignaz Brüll;Robert Schumann;Wilhelm Bernhardt Molique;Franz Schubert;Franz Schubert;Franz Liszt, Franz Schubert;",cello,Otto Dessoff;Ignaz Brüll;David Popper;Angelo Neumann;
1869-11-14,1869,"Vienna Court Opera, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Luigi Cherubini;Joseph Haydn;Ludwig van Beethoven;Robert Schumann;,violin,Otto Dessoff;Ludwig Strauss;
1869-11-28,1869,"Vienna Court Opera, Vienna, Austria","Konzert für Violine Nr. 1 in g-Moll, op. 26",Robert Schumann;Max Bruch;Felix Mendelssohn-Bartholdy;Wolfgang Amadeus Mozart;,violin,Otto Dessoff;Wilhelm Besekirsky;
1871-11-12,1871,"Musikverein, Vienna, Austria","Concerto for Violin in E minor, op. 64",Luigi Cherubini;Felix Mendelssohn-Bartholdy;Richard Wagner;Ludwig van Beethoven;,violin,Otto Dessoff;Robert Heckmann;
1872-11-17,1872,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Ludwig van Beethoven;Ludwig van Beethoven;Robert Volkmann;Robert Schumann;,violin,Otto Dessoff;Edmund Singer;
1874-12-20,1874,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Felix Mendelssohn-Bartholdy;Ludwig van Beethoven;Richard Wagner;Wolfgang Amadeus Mozart;,violin,Otto Dessoff;J. M. Grün;
1875-11-21,1875,"Musikverein, Vienna, Austria",Konzert in Form einer Gesangsszene f. Violine u. Orch.,Ludwig van Beethoven;Louis Spohr;Johann Sebastian Bach;Felix Mendelssohn-Bartholdy;Carl Maria von Weber;Richard Wagner;,violin,Hans Richter;Alfred Grünfeld;Franz Krezma;Eduard Kremser;Karl Heissler;Hans Richter;
1876-11-26,1876,"Musikverein, Vienna, Austria","Concerto for Violin in E minor, op. 64",Peter Iljitsch Tschaikowsky;Felix Mendelssohn-Bartholdy;Johannes Brahms;Robert Schumann;,violin,Johannes Brahms;Hans Richter;Henri Wieniawski;
1877-02-18,1877,"Musikverein, Vienna, Austria","Konzert für Violine Nr. 1 in g-Moll, op. 26",Ludwig van Beethoven;Woldemar Bargiel;Max Bruch;Ludwig van Beethoven;,violin,Hans Richter;Pablo de Sarasate;
1878-11-17,1878,"Musikverein, Vienna, Austria",Violoncello-Konzert,Franz Schubert;Hugo Reinhold;Wilhelm Bernhardt Molique;Robert Schumann;,cello,Hans Richter;Ernst De Munck;
1879-07-18,1879,"Große Aula der Universität, Salzburg, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Ludwig van Beethoven;Wolfgang Amadeus Mozart;Richard Wagner;Wolfgang Amadeus Mozart;Ludwig van Beethoven;Richard Wagner;Wolfgang Amadeus Mozart;,violin,Hans Richter;Louis Thern;Felix von Kraus;J. M. Grün;Willy Thern;Clementine Schuch-Proska;
1879-12-21,1879,"Musikverein, Vienna, Austria","Konzert für Violine Nr. 1 in g-Moll, op. 26","Franz Schubert;E.S. Engelsberg;Hans Huber;Franz Schubert;Max Bruch;Eduard Kremser;Eduard Kremser;Wilhelm Kleinecke;Franz Liszt, Franz Schubert;Franz Lachner;",violin,L. A. Zellner;Adolf Ritter von Schultner;J. M. Grün;Wiener Männergesangverein;Eduard Kremser;Rudolf Weinwurm;
1880-01-06,1880,"Musikverein, Vienna, Austria","Concerto for Violin in E minor, op. 64",Carl Maria von Weber;Felix Mendelssohn-Bartholdy;Ludwig van Beethoven;,violin,Hans Richter;Eduard Nawiasky;Amalie Stahl;Carl Mayerhofer;Pablo de Sarasate;Singverein der Gesellschaft der Musikfreunde in Wien;Gustav Walter;Auguste Krauss;
1880-11-07,1880,"Musikverein, Vienna, Austria","Konzert F-Dur für 2 Hörner, 3 Oboen, Fagott, conc. Quart-Geige",Carl Maria von Weber;Johann Sebastian Bach;Ludwig van Beethoven;,violin,Hans Richter;
1881-03-20,1881,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Louis Spohr;Ludwig van Beethoven;Johannes Brahms;Robert Volkmann;,violin,Hans Richter;Ovide Musin;
1881-11-06,1881,"Musikverein, Vienna, Austria","Konzert für 2 Violen, 2 Gamben (Violen), Violoncello u. Kontrabass",Richard Wagner;Johann Sebastian Bach;Ludwig van Beethoven;,cello,Hans Richter;
1881-12-04,1881,"Musikverein, Vienna, Austria","Konzert für Violine in D-Dur, op. 35",Felix Mendelssohn-Bartholdy;Wolfgang Amadeus Mozart;Peter Iljitsch Tschaikowsky;Ludwig van Beethoven;,violin,Hans Richter;Adolf Brodsky;
1882-03-12,1882,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Hugo Reinhold;Johannes Brahms;Ludwig van Beethoven;,violin,Hans Richter;Konzertmeister Heermann;
1882-12-17,1882,"Musikverein, Vienna, Austria","Concerto for Violin in E minor, op. 64",Luigi Cherubini;Moritz Kässmayer;Felix Mendelssohn-Bartholdy;Ludwig van Beethoven;,violin,Wilhelm Jahn;Franz Ondricek;
1883-02-11,1883,"Musikverein, Vienna, Austria",Violoncello-Konzert,Ludwig van Beethoven;Anton Bruckner;C. Eckert;Louis Spohr;,cello,Wilhelm Jahn;Reinhard (Reinhold) Hummer;
1883-12-02,1883,"Musikverein, Vienna, Austria","Konzert für Violine in a-Moll, op. 53",Felix Mendelssohn-Bartholdy;Antonín Dvořák;Johannes Brahms;,violin,Hans Richter;Franz Ondricek;
1884-03-09,1884,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Johannes Brahms;Sir Charles Villiers Stanford;Ludwig van Beethoven;Robert Volkmann;,violin,Hans Richter;Arnold Rosé;
1885-01-06,1885,"Musikverein, Vienna, Austria","Konzert für Violoncello in D-Dur, Hob. VIIb:2",Friedrich Gernsheim;Richard Heuberger;Joseph Haydn;Felicien David;,cello,Eduard Kremser;Richard von Concelli;Ludwig Gabillon;Josef Sulzer;Wiener Männergesangverein;
1885-02-23,1885,"Musikverein, Vienna, Austria","Concerto for Violin in E minor, op. 64",Hugo Reinhold;Felix Mendelssohn-Bartholdy;Richard Heuberger;Adolf Jensen;Charles-Camille Saint-Saëns;Johannes Brahms;Karl Löwe;Pablo de Sarasate;Zarzycki;,violin,"Heinrich Adolfi;Pablo de Sarasate;Josef Hellmesberger, Jr.;"
1885-03-01,1885,"Musikverein, Vienna, Austria",Violoncello-Konzert,Niels Wilhelm Gade;Antonín Dvořák;Wilhelm Bernhardt Molique;Wolfgang Amadeus Mozart;,cello,Hans Richter;Robert Hausmann;
1886-01-02,1886,"Musikverein, Vienna, Austria","Konzert für Violine Nr. 1 in g-Moll, op. 26",Felix Mendelssohn-Bartholdy;Max Bruch;Wolfgang Amadeus Mozart;Ernest Guiraud;Leopold Auer;Victor Ernst Nessler;Pablo de Sarasate;Pablo de Sarasate;,violin,"Pablo de Sarasate;Minna Walter;Josef Hellmesberger, Jr.;"
1886-11-28,1886,"Musikverein, Vienna, Austria",Violin-Konzert,Ludwig van Beethoven;Sir Alexander Campbell Mackenzie;Robert Schumann;,violin,Hans Richter;Arnold Rosé;
1887-03-11,1887,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61","Hermann Grädener;Ludwig van Beethoven;Edvard Grieg;Richard Wagner, August Wilhelmj;Richard Wagner, Louis Brassin;Franz Liszt, Rudolf Niemann;August Wilhelmj;",violin,"August Wilhelmj;Rudolf Niemann;Josef Hellmesberger, Jr.;"
1887-05-03,1887,"Musikverein, Vienna, Austria","Konzert für Violine in a-Moll, op. 53",Arnošt Förchtgott-Tovacovský;Bedřich Smetana;J. Worobkiewicz;Frédéric Chopin;K. Berndl;R. Tollinger;Antonín Dvořák;B. Ipavec;Ivan Edler von Zajc;Anton Rubinstein;Ladislaus Zelenski;,violin,Theodor Leschetitzky;Alois Alexander Buchta;Antonín Dvořák;A. Koller;None;E. Sychrovsky;None;Franz Ondricek;J. Vilimek;Annette Essipoff-Leschetizky;V. Kinsky;J. Sedlacek;Ig. Mlcoch;J. Florsic;
1887-11-23,1887,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Johannes Brahms;Wolfgang Amadeus Mozart;Joseph Joachim;Wolfgang Amadeus Mozart;Richard Wagner;Peter Iljitsch Tschaikowsky;H. Ernst;,violin,"Ludwig Rottenberg;Franz Ondricek;Josef Hellmesberger, Jr.;"
1887-11-27,1887,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Robert Volkmann;Ludwig van Beethoven;Robert Schumann;,violin,Hans Richter;Franz Ondricek;
1887-11-29,1887,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Ludwig van Beethoven;Franz Liszt;Felix Mendelssohn-Bartholdy;Emilie Bernard;Zarzycki;Anton Rubinstein;Pablo de Sarasate;,violin,Hans Richter;Berthe Marx;Pablo de Sarasate;
1887-11-29,1887,"Musikverein, Vienna, Austria","Concerto for Violin in E minor, op. 64",Ludwig van Beethoven;Franz Liszt;Felix Mendelssohn-Bartholdy;Emilie Bernard;Zarzycki;Anton Rubinstein;Pablo de Sarasate;,violin,Hans Richter;Berthe Marx;Pablo de Sarasate;
1887-12-27,1887,"Musikverein, Vienna, Austria","Schottische Fantasie f. Violine u. Orch. , op. 46",Max Bruch;Emilie Bernard;Joachim Raff;Johannes Brahms;Robert Schumann;Robert Volkmann;Pablo de Sarasate;,violin,Johann Nepomuk Fuchs;Berthe Marx;Filipp Forstén;Arthur Barensfeld;Pablo de Sarasate;
1888-12-23,1888,"Musikverein, Vienna, Austria","Concerto for Violin and Violoncello in A Minor, op. 102",Ludwig van Beethoven;Johannes Brahms;Felix Mendelssohn-Bartholdy;,violin,Hans Richter;Josef Joachim;Robert Hausmann;
1889-02-11,1889,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Ludwig van Beethoven;Wolfgang Amadeus Mozart;Louis Spohr;Robert Schumann;Robert Schumann;Robert Schumann;Johannes Brahms;,violin,Hans Richter;Josef Joachim;
1889-02-11,1889,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Ludwig van Beethoven;Wolfgang Amadeus Mozart;Louis Spohr;Robert Schumann;Robert Schumann;Robert Schumann;Johannes Brahms;,violin,Hans Richter;Josef Joachim;
1889-02-22,1889,"Musikverein, Vienna, Austria","Fantasie für Violine, op. 131",Joseph Joachim;Hugo Reinhold;Robert Schumann;Felix Mendelssohn-Bartholdy;,violin,Hans Richter;Josef Joachim;
1889-02-22,1889,"Musikverein, Vienna, Austria","Concerto for Violin in E minor, op. 64",Joseph Joachim;Hugo Reinhold;Robert Schumann;Felix Mendelssohn-Bartholdy;,violin,Hans Richter;Josef Joachim;
1889-12-01,1889,"Musikverein, Vienna, Austria",Konzert für Cello und Streichorchester,Jean Louis Nicodé;Georg Friedrich Händel;Karl Goldmark;Wolfgang Amadeus Mozart;,cello,Hans Richter;Reinhard (Reinhold) Hummer;
1890-03-23,1890,"Musikverein, Vienna, Austria","Konzert a-Moll für Violine, Klavier, Flöte und Streichorchester",Robert Schumann;Johann Sebastian Bach;Karl Goldmark;Franz Liszt;,violin,Hans Richter;Roman Kukula;Helene Wilson-Hopekirk;Arnold Rosé;
1890-12-21,1890,"Musikverein, Vienna, Austria",Violin-Konzert,Ludwig van Beethoven;Hermann Grädener;Anton Bruckner;,violin,Hans Richter;Adolf Brodsky;
1893-01-29,1893,"Musikverein, Vienna, Austria","Konzert für Violoncello Nr. 1 in a-Moll, op. 33",Bedřich Smetana;Charles-Camille Saint-Saëns;Max Bruch;Robert Schumann;,cello,Hans Richter;Hugo Becker;
1896-03-01,1896,"Musikverein, Vienna, Austria","Concerto for Violin in E minor, op. 64",Karl Goldmark;Felix Mendelssohn-Bartholdy;Peter Iljitsch Tschaikowsky;,violin,Hans Richter;Gabriele Wietrowetz;
1896-12-06,1896,"Musikverein, Vienna, Austria","Concerto for Violin in E minor, op. 64",Hector Berlioz;Felix Mendelssohn-Bartholdy;Alexander Borodin;Robert Schumann;,violin,Hans Richter;Achille Rivarde;
1897-01-27,1897,"Musikverein, Vienna, Austria","Konzert für Violine Nr. 1 in g-Moll, op. 26",Luigi Cherubini;Max Bruch;Joachim Raff;Robert Fuchs;Pablo de Sarasate;,violin,Johann Nepomuk Fuchs;Pablo de Sarasate;
1897-03-07,1897,"Musikverein, Vienna, Austria","Konzert für Violoncello in h-Moll, op. 104",Johannes Brahms;Antonín Dvořák;Joseph Haydn;,cello,Hans Richter;Hugo Becker;
1897-03-26,1897,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Wolfgang Amadeus Mozart;Ludwig van Beethoven;Karl Löwe;Karl Löwe;Charles-Camille Saint-Saëns;Franz Schubert;Richard Wagner;,violin,"Edyth Walker;Ossip Gabrilowitsch;Hermann Gura;Henry Petri;Josef Hellmesberger, Jr.;"
1897-11-21,1897,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Hector Berlioz;Ludwig van Beethoven;Felix Mendelssohn-Bartholdy;,violin,Hans Richter;Karl Prill;
1898-03-10,1898,"Musikverein, Vienna, Austria","Schottische Fantasie f. Violine u. Orch. , op. 46",Carl Maria von Weber;Max Bruch;Giuseppe Verdi;Joachim Raff;Ambroise Thomas;H. Ernst;,violin,Richard von Perger;Karl Frühling;Poddie Ross;Pablo de Sarasate;
1899-01-31,1899,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Johannes Brahms;Hugo Reinhold;Peter Iljitsch Tschaikowsky;Robert Volkmann;Wolfgang Amadeus Mozart;,violin,Richard von Perger;Bronislaw Huberman;
1899-01-31,1899,"Musikverein, Vienna, Austria","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Johannes Brahms;Hugo Reinhold;Peter Iljitsch Tschaikowsky;Robert Volkmann;Wolfgang Amadeus Mozart;,violin,Richard von Perger;Bronislaw Huberman;
1899-03-15,1899,"Musikverein, Vienna, Austria","Concerto for Violin in E minor, op. 64",Felix Mendelssohn-Bartholdy;Georg Friedrich Händel;Edouard Lalo;Christoph Willibald Gluck;Pablo de Sarasate;,violin,Johann Nepomuk Fuchs;Rosa Neuda-Bernstein;Pablo de Sarasate;
1899-12-17,1899,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Louis Spohr;Johannes Brahms;Ludwig van Beethoven;,violin,Gustav Mahler;Marie Soldat-Roeger;
1900-11-17,1900,"Musikverein, Vienna, Austria","Concerto for Violin in E minor, op. 64","Wolfgang Amadeus Mozart;Johann Sebastian Bach;Felix Mendelssohn-Bartholdy;Johann Sebastian Bach;Pedro Burmester, Niccolò Paganini;",violin,Karl Prill;Willy Burmester;
1901-08-06,1901,"Große Aula der Universität, Salzburg, Austria","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,"Alexander Petschnikoff;Erika Wedekind;Josef Hellmesberger, Jr.;"
1902-02-16,1902,"Musikverein, Vienna, Austria","Konzert für Violine Nr. 1 in g-Moll, op. 26",Antonín Dvořák;Max Bruch;Hugo Wolf;Peter Iljitsch Tschaikowsky;,violin,"Moritz Frauscher;Jacques Thibaud;Josef Hellmesberger, Jr.;"
1902-03-16,1902,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Christoph Willibald Gluck;Ludwig van Beethoven;Anton Bruckner;,violin,"Marie Soldat-Roeger;Josef Hellmesberger, Jr.;"
1903-03-01,1903,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Peter Iljitsch Tschaikowsky;Johannes Brahms;Franz Schreker;,violin,"Leopold Auer;Josef Hellmesberger, Jr.;"
1904-08-11,1904,"Große Aula der Universität, Salzburg, Austria","Konzert für Violine Es-Dur, KV 268",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Ludwig van Beethoven;,violin,Felix Mottl;Lilli Lehmann;Erika Wedekind;Hans Bussard;Karl Jörn;Georg Sieglitz;Jacques Thibaud;
1907-01-13,1907,"Musikverein, Vienna, Austria","Konzert D-Dur f. Klavier, Flöte und Violine mit Begleitung",Johann Sebastian Bach;Max Reger;Ludwig van Beethoven;,violin,Felix Mottl;Karl Prill;Max Reger;Alois Markl;
1910-01-30,1910,"Musikverein, Vienna, Austria","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Wolfgang Amadeus Mozart;Max Kalbeck;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Felix Weingartner;Selma Kurz;Georg Reimers;Henri Marteau;
1910-08-02,1910,"Große Aula der Universität, Salzburg, Austria","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Karl Muck;Karl Flesch;Alois Markl;Alfred Holy;
1911-06-24,1911,"Neues Konservatorium, ","Concerto for Violin in E minor, op. 64",Felix Mendelssohn-Bartholdy;Wolfgang Amadeus Mozart;H. Ernst;Antonín Dvořák;Ludwig van Beethoven;Edouard Lalo;,violin,Franz Ondricek;Herr Paster;Herr Lewando;Herr Schück;Bohuslav Orel;Ella Stiller;W. Spitz;
1911-06-24,1911,"Neues Konservatorium, ","Konzert für Violine Es-Dur, KV 268",Felix Mendelssohn-Bartholdy;Wolfgang Amadeus Mozart;H. Ernst;Antonín Dvořák;Ludwig van Beethoven;Edouard Lalo;,violin,Franz Ondricek;Herr Paster;Herr Lewando;Herr Schück;Bohuslav Orel;Ella Stiller;W. Spitz;
1911-06-24,1911,"Neues Konservatorium, ","Konzert für Violine in a-Moll, op. 53",Felix Mendelssohn-Bartholdy;Wolfgang Amadeus Mozart;H. Ernst;Antonín Dvořák;Ludwig van Beethoven;Edouard Lalo;,violin,Franz Ondricek;Herr Paster;Herr Lewando;Herr Schück;Bohuslav Orel;Ella Stiller;W. Spitz;
1911-06-24,1911,"Neues Konservatorium, ","Concerto for Violin and Orchestra in D Major, op. 61",Felix Mendelssohn-Bartholdy;Wolfgang Amadeus Mozart;H. Ernst;Antonín Dvořák;Ludwig van Beethoven;Edouard Lalo;,violin,Franz Ondricek;Herr Paster;Herr Lewando;Herr Schück;Bohuslav Orel;Ella Stiller;W. Spitz;
1915-03-27,1915,"Urania, ","Konzert für Violine Nr. 1 in g-Moll, op. 26",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Max Bruch;Johannes Brahms;Josef Klein;Josef Klein;,violin,Hans Klein;Josef Klein;Irene Gleis-Feder;Karl Prill;
1917-03-04,1917,"Musikverein, Vienna, Austria","Concerto for Violin and Violoncello in A Minor, op. 102",Franz Schubert;Johannes Brahms;Ludwig van Beethoven;,violin,Felix Weingartner;Friedrich Buxbaum;Arnold Rosé;
1917-07-04,1917,"Hotel Union, ","Concerto for Violin and Orchestra in D Major, op. 61",Johannes Brahms;Ludwig van Beethoven;Hector Berlioz;,violin,Felix Weingartner;Arnold Rosé;
1917-07-06,1917,"Lausanne Cathedral, ","Concerto for Violin and Orchestra in D Major, op. 61",Ludwig van Beethoven;Ludwig van Beethoven;Ludwig van Beethoven;,violin,Felix Weingartner;Arnold Rosé;
1917-07-12,1917,"Tonhalle Großer Saal St. Gallen, ","Concerto for Violin and Orchestra in D Major, op. 61",Johannes Brahms;Ludwig van Beethoven;Hector Berlioz;,violin,Felix Weingartner;Arnold Rosé;
1918-03-26,1918,"Vienna Konzerthaus, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Hector Berlioz;Ludwig van Beethoven;Franz Liszt;,violin,Felix Weingartner;Arnold Rosé;
1918-03-27,1918,"Vienna Konzerthaus, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Hector Berlioz;Ludwig van Beethoven;Franz Liszt;,violin,Felix Weingartner;Arnold Rosé;
1918-06-18,1918,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Ludwig van Beethoven;Ludwig van Beethoven;Ludwig van Beethoven;,violin,Felix Weingartner;Karl Flesch;
